Sample in Buffer	Sample in Window	adc_ch0
1389	1389	-14637	
1390	1390	-3983	
1391	1391	7671	
1392	1392	17548	
1393	1393	23767	
1394	1394	24722	
1395	1395	20241	
1396	1396	11241	
1397	1397	-591	
1398	1398	-12027	
1399	1399	-20780	
1400	1400	-24847	
1401	1401	-23439	
1402	1402	-16920	
1403	1403	-6903	
1404	1404	4800	
1405	1405	15206	
1406	1406	22631	
1407	1407	24994	
1408	1408	21823	
1409	1409	13718	
1410	1410	2399	
1411	1411	-9371	
1412	1412	-18961	
1413	1413	-24345	
1414	1414	-24305	
1415	1415	-18944	
1416	1416	-9565	
1417	1417	1895	
1418	1418	12847	
1419	1419	21176	
1420	1420	24899	
1421	1421	23194	
1422	1422	16202	
1423	1423	5538	
1424	1424	-6456	
1425	1425	-16848	
1426	1426	-23448	
1427	1427	-24813	
1428	1428	-20611	
1429	1429	-12043	
1430	1430	-1156	
1431	1431	10228	
1432	1432	19573	
1433	1433	24507	
1434	1434	24049	
1435	1435	18168	
1436	1436	8317	
1437	1437	-3419	
1438	1438	-14462	
1439	1439	-22248	
1440	1440	-24999	
1441	1441	-22328	
1442	1442	-14844	
1443	1443	-4060	
1444	1444	7499	
1445	1445	17485	
1446	1446	23696	
1447	1447	24709	
1448	1448	20193	
1449	1449	11142	
1450	1450	-602	
1451	1451	-12073	
1452	1452	-20791	
1453	1453	-24838	
1454	1454	-23437	
1455	1455	-16959	
1456	1456	-6733	
1457	1457	4764	
1458	1458	15248	
1459	1459	22608	
1460	1460	24989	
1461	1461	21925	
1462	1462	13792	
1463	1463	2611	
1464	1464	-9270	
1465	1465	-18925	
1466	1466	-24294	
1467	1467	-24311	
1468	1468	-18919	
1469	1469	-9497	
1470	1470	1905	
1471	1471	12942	
1472	1472	21217	
1473	1473	24918	
1474	1474	23137	
1475	1475	16129	
1476	1476	5501	
1477	1477	-6408	
1478	1478	-16793	
1479	1479	-23457	
1480	1480	-24840	
1481	1481	-20788	
1482	1482	-12206	
1483	1483	-1106	
1484	1484	10395	
1485	1485	19520	
1486	1486	24473	
1487	1487	24078	
1488	1488	18303	
1489	1489	8175	
1490	1490	-3451	
1491	1491	-14524	
1492	1492	-22256	
1493	1493	-25013	
1494	1494	-22258	
1495	1495	-14689	
1496	1496	-4026	
1497	1497	7549	
1498	1498	17551	
1499	1499	23709	
1500	1500	24729	
1501	1501	20323	
1502	1502	11069	
1503	1503	-462	
1504	1504	-11993	
1505	1505	-20606	
1506	1506	-24836	
1507	1507	-23406	
1508	1508	-16732	
1509	1509	-6670	
1510	1510	4989	
1511	1511	15409	
1512	1512	22720	
1513	1513	24994	
1514	1514	21917	
1515	1515	13895	
